code,name,type
1INCH,1inch,Cryptocurrency
AAVE,Aave,Cryptocurrency
ACA,Acala,Cryptocurrency
ACH,Alchemy Pay,Cryptocurrency
ADA,Cardano,Cryptocurrency
ADX,Ambire AdEx,Cryptocurrency
AGLD,Adventure Gold,Cryptocurrency
AIR,Altair,Cryptocurrency
AKT,Akash,Cryptocurrency
ALCX,Alchemix,Cryptocurrency
ALGO,Algorand,Cryptocurrency
ALICE,My Neighbor Alice,Cryptocurrency
ALPHA,Alpha Venture DAO,Cryptocurrency
ANKR,Ankr,Cryptocurrency
ANT,Aragon,Cryptocurrency
APE,ApeCoin,Cryptocurrency
API3,API3,Cryptocurrency
APT,Aptos,Cryptocurrency
ARPA,Arpa Chain,Cryptocurrency
ASTR,Astar,Cryptocurrency
ATLAS,Star Atlas,Cryptocurrency
ATOM,Cosmos,Cryptocurrency
AUDIO,Audius,Cryptocurrency
AVAX,Avalanche,Cryptocurrency
AXS,Axie Infinity,Cryptocurrency
BADGER,Badger DAO,Cryptocurrency
BAL,Balancer,Cryptocurrency
BAND,Band Protocol,Cryptocurrency
BAT,Basic Attention Token,Cryptocurrency
BCH,Bitcoin Cash,Cryptocurrency
BICO,Biconomy,Cryptocurrency
BIT,BitDAO,Cryptocurrency
BLZ,Bluzelle,Cryptocurrency
BOBA,Boba Network,Cryptocurrency
BOND,Barnbridge,Cryptocurrency
BNC,Bifrost,Cryptocurrency
BNT,Bancor,Cryptocurrency
BSV*,Bitcoin SV,Cryptocurrency
BSX,Basilisk,Cryptocurrency
BTT,Bittorrent,Cryptocurrency
CELR,Celer Network,Cryptocurrency
CFG,Centrifuge,Cryptocurrency
XCN,Chain,Cryptocurrency
CHR,Chromia,Cryptocurrency
CHZ,Chiliz,Cryptocurrency
COTI,COTI,Cryptocurrency
COMP,Compound,Cryptocurrency
CQT,Covalent,Cryptocurrency
CRV,Curve,Cryptocurrency
CSM,Crust Shadow,Cryptocurrency
CTSI,Cartesi,Cryptocurrency
CVC,Civic,Cryptocurrency
CVX,Convex Finance,Cryptocurrency
C98,Coin98,Cryptocurrency
DAI,Dai,Cryptocurrency
DASH,Dash,Cryptocurrency
DENT,Dent,Cryptocurrency
DOT,Polkadot,Cryptocurrency
DYDX,dYdX,Cryptocurrency
EGLD,Elrond,Cryptocurrency
ENJ,Enjin Coin,Cryptocurrency
ENS,Ethereum Name Service,Cryptocurrency
EOS,EOS,Cryptocurrency
ETH2,Ethereum 2,Cryptocurrency
ETHW**,EthereumPoW,Cryptocurrency
EWT,Energy Web Token,Cryptocurrency
FARM,Harvest Finance,Cryptocurrency
FET,Fetch.ai,Cryptocurrency
FIDA,Bonfida,Cryptocurrency
FIL,Filecoin,Cryptocurrency
FIS,Stafi Protocol,Cryptocurrency
FLOW,Flow,Cryptocurrency
FLR,Flare,Cryptocurrency
FORTH,Ampleforth Governance Token,Cryptocurrency
FTM,Fantom,Cryptocurrency
FXS,Frax Share,Cryptocurrency
GALA,Gala Games,Cryptocurrency
GAL,Galxe,Cryptocurrency
GARI,Gari Network,Cryptocurrency
GHST,Aavegotchi,Cryptocurrency
GLMR,Moonbeam,Cryptocurrency
GMT,STEPN,Cryptocurrency
GNO,Gnosis,Cryptocurrency
GRT,The Graph,Cryptocurrency
GST,Green Satoshi Token,Cryptocurrency
GTC,Gitcoin,Cryptocurrency
HFT,Hashflow,Cryptocurrency
IDEX,IDEX,Cryptocurrency
ICP,Internet Computer,Cryptocurrency
ICX,ICON,Cryptocurrency
